,City,Cloudiness,Country,Humidity,Lat,Lng,Max Temp,Wind Speed
167,Torbay,90,CA,100,47.66,-52.73,62.01,23.04
168,Canalete,40,CO,88,8.79,-76.24,80.6,11.41
169,Two Hills,51,CA,78,53.71,-111.75,58.0,0.96
170,Pevek,0,RU,81,69.7,170.27,38.95,1.72
171,Saint George,20,GR,72,39.45,22.34,68.0,1.72
172,Santa Rosa,0,AR,50,-36.62,-64.29,37.15,11.48
173,Ippy,100,CF,98,6.26,21.2,69.09,6.33
174,Palmer,0,AU,87,-34.85,139.16,57.99,10.29
175,Prince Rupert,75,CA,93,54.32,-130.32,57.2,2.24
176,Guatire,40,VE,83,10.47,-66.54,78.8,3.36
177,Innisfail,100,AU,11,-17.52,146.03,79.0,8.99
178,Port Augusta,0,AU,63,-32.49,137.76,75.99,9.17
179,Port Blair,100,IN,81,11.67,92.75,82.17,24.52
180,Oriximina,33,BR,54,-1.77,-55.87,84.96,4.41
181,Werneck,75,BR,88,-22.22,-43.32,71.6,3.36
182,Codrington,0,AU,16,-28.95,153.24,86.0,14.99
183,Georgetown,0,GY,83,6.8,-58.16,82.4,9.17
184,Cidreira,98,BR,61,-30.17,-50.22,53.1,5.1
185,Morro Bay,1,US,60,35.37,-120.85,99.0,4.7
186,Burnie,57,AU,64,-41.05,145.91,57.99,5.99
187,Kabanjahe,100,ID,43,3.1,98.49,91.99,1.68
188,Liverpool,100,GB,93,53.41,-2.98,61.0,6.93
189,Senador Guiomard,0,BR,100,-10.15,-67.74,71.6,2.24
190,Fort Nelson,75,CA,82,58.81,-122.69,66.2,2.71
191,Biak,54,ID,45,-0.91,122.88,77.51,3.53
192,Port Lincoln,79,AU,81,-34.72,135.86,57.76,11.79
193,Richmond,40,CA,69,49.16,-123.14,73.99,0.94
194,Butaritari,48,KI,67,3.07,172.79,85.02,5.01
195,Arrifes,75,PT,72,37.77,-25.7,71.01,14.99
196,Santa Cruz de Tenerife,90,ES,88,28.47,-16.25,73.4,13.87
197,Hearst,100,CA,57,49.69,-83.67,51.14,9.01
198,Katsuura,75,JP,88,33.93,134.5,90.0,4.7
199,Naryan-Mar,0,RU,87,67.67,53.09,52.83,9.42
200,Berdigestyakh,100,RU,92,62.1,126.7,47.72,2.8
201,Diamantino,21,BR,43,-14.4,-56.44,80.64,4.34
202,Half Moon Bay,90,US,87,37.46,-122.43,72.0,11.41
203,Saint-Georges,99,CA,91,46.12,-70.67,54.0,5.59
204,Cherskiy,62,RU,37,68.75,161.3,53.03,4.18
205,Upernavik,0,GL,61,72.79,-56.15,37.14,6.55
206,Bethel,90,US,93,60.79,-161.76,57.2,17.22
207,Ambam,99,CM,98,2.38,11.27,68.31,3.06
208,Antalaha,98,MG,97,-14.9,50.28,59.55,4.07
209,Campbellton,100,CA,76,48.0,-66.68,43.92,0.45
210,Sheridan,75,US,44,39.65,-105.03,77.0,6.93
211,Chapais,90,CA,71,49.78,-74.86,50.0,8.05
212,Fredericton,75,CA,82,45.97,-66.65,57.99,4.7
213,Pacific Grove,1,US,68,36.62,-121.92,80.6,11.41
214,Vila,75,IT,72,45.18,8.4,70.0,8.05
215,Ahuimanu,40,US,43,21.44,-157.84,91.4,16.11
216,Riverton,1,US,35,43.02,-108.38,72.0,8.05
217,Nan,75,TH,94,18.78,100.78,77.0,4.7
218,Heinola,0,FI,93,61.2,26.03,46.4,1.12
219,Belmonte,0,PT,84,40.36,-7.35,73.99,0.83
220,Jachymov,0,CZ,75,50.36,12.93,55.0,2.24
221,Kirakira,74,SB,85,-10.46,161.92,78.9,18.75
222,Constitucion,75,MX,49,23.99,-104.67,70.0,4.7
223,Salalah,90,OM,100,17.01,54.1,78.8,4.7
224,Ngorongoro,60,TZ,81,-3.24,35.49,60.19,17.25
225,Barrow,3,AR,76,-38.31,-60.23,36.07,11.41
226,Dossor,92,KZ,44,47.52,52.98,62.43,7.18
227,Nizhnekamsk,75,RU,93,55.64,51.82,48.2,8.95
228,Presidencia Roque Saenz Pena,15,AR,77,-26.79,-60.44,52.78,7.76
229,Lisakovsk,100,KZ,74,52.55,62.49,51.19,10.02
230,Marktheidenfeld,20,DE,62,49.85,9.61,55.0,4.7
231,Beringovskiy,100,RU,87,63.05,179.32,42.21,6.96
232,Vanavara,0,RU,50,60.35,102.28,58.95,3.31
233,Karratha,0,AU,15,-20.74,116.85,85.18,6.08
234,Aklavik,75,CA,71,68.22,-135.01,53.6,3.36
235,Nata,0,BW,60,-20.21,26.19,58.99,11.16
236,Chernyshevskiy,100,RU,85,63.01,112.47,52.65,8.03
237,Namatanai,96,PG,80,-3.66,152.44,81.15,14.74
238,Isangel,40,VU,61,-19.55,169.27,77.0,6.93
239,Pangoa,100,PE,98,-12.12,-73.0,68.4,3.18
240,Campina Verde,23,BR,55,-19.54,-49.49,75.31,6.35
241,Niquelandia,0,BR,29,-14.47,-48.46,73.8,6.35
242,Nauta,16,PE,88,-4.51,-73.58,74.52,2.3
243,Aguimes,20,ES,68,27.91,-15.45,71.6,13.87
244,Tiarei,40,PF,74,-17.53,-149.33,82.4,13.87
245,Paranaiba,8,BR,56,-19.68,-51.19,76.61,7.56
246,Lusambo,100,CD,96,-4.97,23.44,68.1,3.02
247,Bilibino,0,RU,34,68.06,166.44,46.12,3.71
248,Saint-Pierre,0,FR,87,48.95,4.24,53.6,2.24
249,Ranong,75,TH,88,9.96,98.62,82.4,5.82
250,Shingu,20,JP,74,33.72,135.99,86.0,5.82
251,Fortuna,40,US,77,40.6,-124.16,66.99,13.87
252,Alanya,75,TR,83,36.55,32.0,77.0,3.36
253,Vung Tau,88,VN,81,10.35,107.08,80.26,14.16
254,Luderitz,67,NA,87,-26.65,15.16,53.6,5.82
255,Perelyub,0,RU,89,51.87,50.37,49.11,7.63
256,Kindu,85,CD,99,-2.95,25.92,69.39,2.89
257,Sao Jose da Coroa Grande,19,BR,95,-8.9,-35.15,68.24,2.8
258,Chake Chake,50,TZ,77,-5.25,39.77,77.83,12.33
259,Saint-Joseph,0,FR,77,43.56,6.97,73.4,3.36
260,Gonaives,97,HT,70,19.45,-72.68,84.89,9.31
261,Xiamen,40,CN,66,24.46,118.07,87.8,15.66
262,Sibolga,100,ID,87,1.74,98.78,78.27,8.16
263,Sacama,6,EC,85,-3.9,-79.27,58.14,2.55
264,Narsaq,100,GL,81,60.91,-46.05,46.4,6.93
265,Sao Joao da Barra,3,BR,86,-21.64,-41.05,70.38,2.95
266,Maniitsoq,100,GL,92,65.42,-52.9,42.18,16.82
267,Melbu,100,NO,89,68.5,14.83,50.0,28.3
268,Srandakan,15,ID,81,-7.94,110.25,74.68,12.24
269,Teguldet,100,RU,97,57.31,88.17,45.54,3.2
270,Vaitape,15,PF,85,-16.52,-151.75,77.8,20.49
271,Tigzirt,0,DZ,85,36.57,4.2,63.4,1.52
272,Ribeira Grande,100,PT,72,38.52,-28.7,69.1,12.33
273,Soe,67,EE,93,57.91,26.05,51.01,1.12
274,Seymchan,77,RU,33,62.93,152.39,64.62,12.75
275,Faya,20,SA,59,18.39,42.45,66.2,2.21
276,Sioux Falls,20,US,72,43.55,-96.7,68.0,5.82
277,Kahului,40,US,52,20.89,-156.47,89.6,21.92
278,Kungurtug,24,RU,58,50.6,97.53,62.71,0.72
279,Alice Springs,0,AU,7,-23.7,133.88,86.0,18.34
280,Kuytun,33,RU,70,54.34,101.51,64.23,3.29
281,Calabozo,74,VE,89,8.92,-67.43,75.3,2.21
282,Hobyo,73,SO,77,5.35,48.53,77.04,20.92
283,Udachnyy,75,RU,81,66.42,112.4,44.6,2.24
284,Yinchuan,59,CN,53,38.48,106.21,69.66,3.74
285,Mitu,0,IR,70,36.2,46.09,53.88,2.77
286,Zhangjiakou,13,CN,34,40.77,114.88,72.65,4.79
287,Charters Towers,100,AU,11,-20.07,146.27,83.36,9.95
288,Nanortalik,100,GL,92,60.14,-45.24,47.38,9.44
289,Sandnessjoen,100,NO,81,66.02,12.63,50.0,19.46
290,Chongwe,0,ZM,72,-15.33,28.68,59.0,2.24
291,Ruteng,66,ID,48,-8.61,120.46,83.4,8.12
292,Unity,66,CA,73,52.44,-109.15,63.0,1.01
293,La Grande,1,US,32,45.32,-118.09,87.01,14.99
294,Severnyy-Kospashskiy,62,RU,100,59.09,57.8,46.0,0.43
295,Jalu,0,LY,34,29.03,21.55,77.8,5.55
296,Pombas,0,BR,49,-15.9,-54.74,77.15,2.19
297,Benghazi,20,LY,71,32.12,20.07,79.22,5.75
298,Birjand,0,IR,27,32.86,59.22,62.6,4.7
299,Vila Velha,20,BR,74,-3.71,-38.6,79.0,10.29
300,Severobaykalsk,32,RU,61,55.65,109.32,53.46,3.83
301,Poum,92,MK,70,41.28,20.71,57.03,4.88
302,Lakatoro,67,VU,66,-16.11,167.42,74.56,15.73
303,Naze,99,NG,97,5.43,7.07,73.26,2.82
304,Haines Junction,100,CA,54,60.75,-137.51,50.24,5.32
305,Antofagasta,90,CL,76,-23.65,-70.4,57.2,5.82
306,Sao Filipe,63,CV,85,14.9,-24.5,80.61,6.2
307,Deloraine,90,AU,67,-41.53,146.66,57.99,18.34
308,Souillac,0,FR,82,45.6,-0.6,57.2,3.36
309,Honiara,90,SB,100,-9.43,159.96,77.0,4.7
310,Kavieng,63,PG,77,-2.57,150.8,83.09,9.82
311,Les Cayes,4,HT,79,18.19,-73.75,83.61,13.78
312,Dogondoutchi,55,NE,62,13.64,4.03,84.13,12.15
313,Evensk,77,RU,41,61.92,159.24,55.12,7.25
314,Killybegs,20,IE,93,54.63,-8.45,50.0,5.01
315,Iracoubo,0,GF,88,5.48,-53.21,77.71,7.02
316,College,75,US,55,64.86,-147.8,64.4,9.17
317,Mount Gambier,75,AU,93,-37.83,140.78,57.2,9.17
318,Ketchikan,90,US,93,55.34,-131.65,57.2,2.24
319,Iqaluit,90,CA,87,63.75,-68.52,42.8,19.46
320,Los Llanos de Aridane,0,ES,60,28.66,-17.92,71.6,6.93
321,Kamaishi,75,JP,61,39.28,141.86,78.8,2.24
322,Chifeng,1,CN,35,42.27,118.96,78.95,5.73
323,Kayes,0,ML,65,14.44,-11.44,79.4,4.65
324,Mattru,95,SL,95,7.62,-11.83,74.7,5.82
325,Balkhash,0,KZ,40,46.84,74.98,51.8,11.18
326,Amapa,75,HN,79,15.09,-87.97,84.2,5.82
327,Shaunavon,51,CA,45,49.65,-108.41,66.96,8.03
328,Fare,27,PF,84,-16.7,-151.02,77.51,22.32
329,Cockburn Town,0,TC,78,21.46,-71.14,84.15,18.92
330,Tuatapere,100,NZ,83,-46.13,167.69,53.01,3.0
331,Nevel,100,RU,98,56.02,29.92,51.32,4.47
332,Milford,1,US,93,42.14,-71.52,66.99,5.14
333,Nome,1,US,66,30.04,-94.42,86.0,4.38
334,Dali,100,CN,55,34.79,109.94,74.68,9.69
335,Gamba,100,CN,83,28.28,88.52,41.42,6.29
336,Komsomolskiy,59,RU,72,67.55,63.78,48.66,7.23
337,Homer,1,US,71,59.64,-151.54,60.8,10.29
338,Carndonagh,11,IE,74,55.25,-7.27,55.96,33.96
339,Kardamaina,0,GR,88,36.78,27.14,73.4,5.82
340,Puerto Carreno,75,CO,88,6.19,-67.49,77.0,1.59
341,Port Hawkesbury,1,CA,100,45.62,-61.36,62.01,3.36
342,Berlevag,50,NO,74,70.86,29.09,49.68,18.97
343,Geraldton,75,CA,66,49.72,-86.95,50.0,8.05
344,Krasnogorsk,0,RU,77,55.82,37.34,63.0,4.47
345,Saint Anthony,1,US,28,43.97,-111.68,80.6,6.22
346,Trairi,10,BR,86,-3.28,-39.27,71.57,5.26
347,Bismarck,1,US,77,46.81,-100.78,60.8,4.7
348,Ulaangom,61,MN,25,49.98,92.07,68.89,4.14
349,Nouadhibou,91,MR,69,20.93,-17.03,75.2,13.87
350,Elizabeth City,1,US,88,36.3,-76.22,78.01,4.7
351,San Cristobal,100,HN,86,14.68,-86.92,67.81,4.76
352,Pizarro,48,CO,85,4.95,-77.37,79.72,8.32
353,Ambanja,96,MG,69,-13.68,48.45,77.46,3.29
354,Camargo,12,MX,42,27.69,-105.17,76.57,10.92
355,Ishigaki,75,JP,94,24.34,124.16,80.6,25.28
356,Sarkand,100,KZ,25,45.41,79.91,67.93,3.13
357,Lebanon,1,US,77,40.34,-76.42,71.6,3.69
358,Sorrento,75,AU,67,-31.82,115.75,61.0,10.29
359,Palembang,92,ID,50,-2.99,104.76,87.66,6.78
360,Ilulissat,73,GL,46,69.22,-51.1,50.0,18.34
361,Lebu,75,ET,93,8.96,38.73,55.4,4.7
362,Balabac,100,PH,70,7.99,117.06,86.47,9.42
363,Kibre Mengist,100,ET,97,5.87,38.99,54.56,1.99
364,Omsukchan,29,RU,32,62.53,155.8,55.87,7.7
365,Kodinar,86,IN,87,20.79,70.7,81.07,12.5
366,Anuradhapura,100,LK,67,8.34,80.41,83.58,13.67
367,Vila Franca do Campo,75,PT,72,37.72,-25.43,71.01,14.99
368,Hay River,40,CA,76,60.82,-115.79,57.2,11.41
369,Kudahuvadhoo,100,MV,74,2.67,72.89,83.07,8.59
370,Wajid,77,SO,75,3.81,43.25,73.12,19.1
371,Khujner,100,IN,92,23.78,76.6,78.25,7.43
372,Bronnoysund,100,NO,81,65.46,12.2,50.0,19.46
373,Mazatlan,75,MX,74,23.22,-106.42,86.0,8.05
374,Yamada,75,JP,83,36.58,137.08,82.99,4.7
375,Port Hardy,75,CA,87,50.7,-127.42,57.2,10.29
376,Charlestown,1,US,93,41.38,-71.64,69.01,3.36
377,Mareeba,71,AU,39,-16.99,145.42,87.01,6.93
378,Sorong,99,ID,73,-0.86,131.25,82.71,8.97
379,Prelouc,0,CZ,87,50.04,15.56,54.0,2.24
380,Kloulklubed,90,PW,83,7.04,134.26,78.8,16.11
381,Bagdarin,100,RU,69,54.44,113.59,62.53,1.43
382,San Luis,36,AR,21,-33.3,-66.34,44.73,15.23
383,Makakilo City,75,US,52,21.35,-158.09,91.4,9.17
384,Beloha,3,MG,94,-25.17,45.06,58.56,6.17
385,Codajas,53,BR,69,-3.84,-62.06,78.93,3.38
386,Bud,1,NO,66,62.91,6.91,51.8,8.05
387,Villa de Reyes,100,MX,71,21.8,-100.93,63.27,6.33
388,Aksu,0,KZ,93,52.04,76.93,46.4,2.24
389,Vardo,1,US,64,39.62,-77.74,73.99,4.7
390,Savannah Bight,97,HN,82,16.45,-85.85,84.17,20.09
391,Sioux Lookout,75,CA,93,50.1,-91.92,51.8,3.58
392,Manali,23,IN,64,32.25,77.19,47.05,1.63
393,Aurora,40,US,78,41.76,-88.32,80.6,17.22
394,Mkushi,0,ZM,90,-13.61,29.4,54.11,4.76
395,Sinop,0,TR,70,42.03,35.15,66.89,5.21
396,Issoudun,0,FR,71,46.95,1.99,52.0,2.24
397,Cayenne,0,GF,88,4.94,-52.33,78.8,1.12
398,Mangan,100,IN,76,27.5,88.54,66.01,0.83
399,Catalina,0,PE,30,-13.57,-76.13,71.6,13.87
400,Pitogo,29,PH,70,13.79,122.09,85.74,8.81
401,Umm Kaddadah,15,SD,46,13.6,26.69,83.92,6.13
402,Noumea,27,NC,60,-22.28,166.46,75.2,13.87
403,Xining,53,CN,49,36.62,101.77,73.0,6.85
404,Tsiroanomandidy,25,MG,78,-18.77,46.05,57.66,2.06
405,Glendive,1,US,45,47.11,-104.71,68.0,6.93
406,Grand Gaube,75,MU,94,-20.01,57.66,69.01,11.41
407,Broken Hill,0,AU,22,-31.97,141.45,75.2,13.87
408,Linxia,0,CN,51,35.6,103.21,67.95,5.01
409,Tiznit,0,MA,92,29.7,-9.73,66.4,6.55
410,Izyaslav,38,UA,97,50.12,26.82,50.26,6.31
411,Muroto,75,JP,70,33.37,134.14,84.2,4.7
412,La Ronge,75,CA,93,55.1,-105.3,55.4,2.24
413,Funtua,100,NG,92,11.52,7.31,71.23,5.95
414,Raudeberg,33,NO,71,61.99,5.14,51.8,12.75
415,Isla Vista,1,US,47,34.41,-119.86,82.0,8.05
416,Nyurba,100,RU,95,63.29,118.35,45.85,2.51
417,Riyadh,0,SA,25,24.63,46.72,86.0,2.24
418,Logan,1,US,36,41.73,-111.83,87.8,1.74
419,Severodvinsk,75,RU,100,64.56,39.82,57.2,5.75
420,Verkhoyansk,12,RU,52,67.55,133.39,48.94,7.0
421,Ukiah,1,US,34,39.15,-123.21,82.4,4.7
422,Rosarito,40,CO,83,4.91,-75.23,82.4,2.24
423,Faanui,15,PF,85,-16.48,-151.75,77.8,20.49
424,Meulaboh,100,ID,79,4.14,96.13,80.71,8.14
425,Paciran,21,ID,40,-6.9,112.33,88.56,8.59
426,Bodo,97,CI,99,5.91,-4.68,70.15,1.54
427,Ixtapa,75,MX,63,20.71,-105.21,91.4,5.82
428,Pouebo,1,NC,57,-20.4,164.57,70.45,12.8
429,Bintulu,75,MY,89,3.17,113.03,84.2,3.36
430,Bay City,75,US,73,43.59,-83.89,73.4,6.93
431,Bogorodskoye,90,RU,55,52.37,140.44,66.26,7.11
432,Sisimiut,100,GL,94,66.94,-53.67,43.31,18.61
